,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99
a-0,0.03363030101909199,-0.0022113162153739262,0.11668724184735892,0.05113245630558791,-0.028803156386567323,-0.05366206437250663,-0.027956736764068037,-0.05856122945748891,-0.053365161451893184,-0.010497517168761884,0.04899957640735854,0.1416043002620572,0.013518771637267404,-0.13642629909793239,0.012701172826453161,-0.06790875224602386,-0.016319008362669193,0.038613502666508925,-0.06627588210323948,0.03013363984735282,-0.07833778281386128,0.08047048354880121,0.0270048547797309,-0.09889123841126486,0.07314749455785179,-0.0715296263801563,1.1457566134412267,0.12060193653119446,-0.11427962191816388,0.029817164370076112,-0.005578038740268925,0.04776301862469959,0.03732665567793988,0.06482015347509841,0.07174572528353794,-0.046313364733772386,0.07412053454746491,-0.020128537018748338,0.07696973644538435,0.016387142015205504,0.0869343311089057,0.07430538063093088,0.04793925976043941,0.00013920668134637142,-0.07827903246623878,0.1480257491388522,-0.019058540739198937,0.004217285193764604,0.08149315607651646,-0.10095484364881949,0.06622756246998265,-0.11780365076209674,-0.0846079249020666,-0.01653306886985142,0.04779563512442268,-0.13780085260050906,0.1205007099759701,0.1473285648870552,0.1020923887251963,0.10282906905091253,0.07259030713459168,-0.012554279592122528,-0.07621590056629068,-0.15738488472057835,0.00709383682776692,0.009079996436682777,-0.046312756608831634,0.02362000355987166,0.017571188050488417,0.03440423441012789,-0.003616704794447598,0.003944816015534579,-0.07396017649352626,0.02271998878273064,0.028494277372755127,0.03226694199228426,-0.15342704567554044,0.11422429221009328,0.015246989981207527,-0.033272285489304464,0.1375791160638684,-0.028783586935412643,0.10624892593344978,-0.06468604667728042,0.006538794556192424,-0.10206713278288101,-0.05226487858285096,-0.09330229208613167,0.01562502248265727,0.03272166624202436,0.09465661378537898,0.14889219577693794,0.05646435078866898,0.18059240838047663,0.123653166152189,0.04831199024385876,-0.06936166080884414,-0.12815821938172964,-0.04598528810531587,-0.042519507369071945
a-1,-0.12301447286672283,-0.004305823968850534,-0.14319416142142327,-0.04989878226839768,-0.0733774263611621,0.11785191538807253,0.01545557951297342,-0.0372835962104222,0.1432792156710047,-0.18136749246406017,0.05148261916125344,-0.08937359167901421,-0.06145464909307862,0.0882226810899062,0.10589305877686624,-0.13972789879044334,0.03355275093124779,0.08611744145884173,-0.03037254490942347,0.049979910218161665,-0.04345411440329974,0.04119860710469592,0.008565783938578146,0.020686709470782303,-0.07231775862228935,0.06784965439349329,1.007457780444489,-0.11747101443399743,-0.15025437876493283,-0.08993353203609625,-0.139301405062665,-0.022817668954691058,0.08285026943503507,0.019760878683066738,0.0037081232706276134,-0.08160597737296293,0.031874626842024995,-0.054079632272042606,0.09979533123443712,-0.1585531700951795,-0.0262493076310087,-0.023408792231718333,-0.1753768165669072,-0.014507176371127495,0.03101467500761664,0.019102908767194948,0.008216855337176551,-0.0655833607755122,0.03895605038280854,0.007124041645587951,-0.07886463856441736,-0.06324857431653874,0.016370761544985738,0.04138338592011946,-0.055292015478437574,0.07223478656901462,-0.053188307348287216,0.010540226999760278,0.03374909370818031,-0.0010158336101051056,-0.02784767371628697,0.06478452372278957,0.041266753405329024,0.0946517031014144,-0.030238190200074427,0.05468067582125258,0.027977066651412693,0.08281889274090769,-0.03351193974362925,-0.2778668175927021,-0.10618586305867216,0.11269615446551617,0.0180709946743523,-0.020370108753595094,0.003982154763316352,-0.10911525041229496,-0.020686993293499715,-0.014181209887315447,-0.05476832294813271,0.08995311195806457,-0.013373054908539295,-0.06039267849955545,-0.039376136137687014,-0.028689061561121252,0.020867894704551124,-0.04977756357544886,-0.03733530503371209,-0.11964169499663027,0.08756541938318868,0.01393289673263086,-0.07434147498019697,0.07349088444242574,-0.08402131588311725,-0.07007656847564368,0.15189581385927933,-0.03634884196658808,-0.08609573164261056,0.07780130327410613,-0.09164330660887594,-0.034511287397475304
a-2,0.07978778584395542,0.056398397546276235,-0.05755801648910562,0.06636960351516172,0.09795320905980015,-0.14110113647141637,-0.06294401731332744,-0.11072250904708593,-0.014574192753777191,-0.10998347273785058,0.002866584278027952,-0.06438441282499545,0.05513216256422241,-0.13735584160981235,0.00915919713126215,0.02890728495437474,-0.005844163099479192,-0.039015989761655066,0.2451975219604456,0.06789047683957901,-0.09129302132070405,0.07445854217971365,-0.02230474138606288,-0.07713227383236976,0.007762339473854244,0.07158526626195257,1.080538582184932,-0.009083551981776412,0.13779931013209273,-0.02544678436511145,0.06558335342382782,-0.016389926775264206,0.08838555050660638,0.08413632493007546,0.09102061538665315,-0.06106814375876353,-0.1022707695301778,0.05352366903589671,0.03352450701786157,-0.038396072783190335,-0.004087025448914141,0.04482974243349716,0.08441965649645791,0.021471528593215095,0.04896010351212368,-0.004634791870445868,0.09934069168845505,0.02345992574703128,0.03151096849063719,-0.08326074534920853,-0.05055503780941058,-0.011742080904022498,-0.1244816486747929,-0.03918759283304352,-0.009295103531259015,0.029497738721606145,-0.030518253970167906,-0.09728692804089481,-0.15481496408200926,-0.040948545778942476,0.04583711950127323,-0.10702197787164773,-0.056883577511401766,-0.009377427457729848,-0.0638871837077953,-0.05683490058061859,-0.045342628254181214,-0.030332344837804778,0.02305569525151428,0.005759850230352688,-0.0014668418729123956,0.007908641773516063,0.033842770706777756,-0.08220244751519996,0.023023624991536405,-0.0004560719377599582,-0.07768923114307752,-0.06357440762325674,-0.09472497689081336,0.06061839352650199,0.017196904250002136,0.1647895848223229,0.11965079077909407,-0.16608477803023228,0.07953704812625927,-0.08199112957316432,-0.14271893726324328,-0.08713625156945903,0.08526916493207476,-0.04100952867295325,-0.022256612227850664,0.044301085516597456,0.059704512259314044,-0.08387078639818338,0.004306535945059561,-0.008243949727817926,-0.02779718618674772,0.04662771601404974,-0.11692269680547596,-0.11249454665925779
a-3,-0.06533748847258278,0.06199713549129098,-0.015449086432491583,-0.09997504758434793,0.06774651593001736,-0.03905368210579808,0.0011571294487200518,-0.12700232485770196,0.012806395626182318,0.04229849296509606,0.06566379514420784,0.08250616335391614,-0.06015816581637552,-0.006753938677268668,-0.06245210892062483,-0.0372231407391254,-0.08167006700458973,-0.01827691417581474,-0.12730092302599688,0.11309901056380038,-0.13640371806123622,0.02840117371469221,0.06972308007440511,0.01620770768339751,0.09576669393380328,-0.17150796245442657,0.9735142612973803,-0.1357385181967682,-0.11557061773506584,-0.045149584157679924,-0.15557838472097307,0.004813239612559139,0.03547434241462711,-0.18037344583454248,-0.06236086714254326,0.09386200411764924,-0.07441014070241118,-0.010137447654423395,0.10059095622554892,-0.06348230834549078,0.08082016452572822,0.1192080580526741,-0.07299657046858145,0.05208093874638058,0.10166505753902852,-0.09131606666477199,0.009398008882088638,0.0815982251725848,0.04268698784486184,-0.17797782400139672,-0.0271653293281722,-0.0053714078213183535,0.09301738780822104,-0.11977246409556697,-0.07065096019386995,-0.053777980664368744,0.015353383301348073,-0.07648738521804475,0.08445334384553972,0.09590299591077099,0.09049796739872631,0.13268952232181386,0.03782122660023974,0.007252498168555417,0.00337205342553023,0.10785356978720498,0.08693013577971008,-0.04962676499003984,-0.010223392263907225,-0.07103577779633646,0.15263110381281023,0.01570122348500955,-0.011527075439159004,-0.0173225183495415,0.1393376831325384,-0.1013699305024029,0.0213316811075574,0.06946722349317436,0.0006297892299405311,0.08605924558903139,0.0062437830519329355,0.06372640375718168,0.041038847211843255,-0.010062719302449263,-0.06648562375329525,-0.039157393343867364,-0.01083238250971225,0.07806276055109623,-0.05680634016401001,0.15321511810046365,0.0174234629762829,-0.037559548956720056,0.018867254460389244,0.03206885034384774,0.023690102664486287,0.05464139423337805,-0.15066966066354254,0.022297561853853017,-0.18085381580912335,-0.04359785765644134
a-4,0.09547079627446174,-0.09105763233481097,0.01226826140703285,-0.0499647029944016,-0.1436284903908458,-0.014863882876903078,0.0070413420298800385,-0.12691753182498894,-0.055934018415630525,-0.169901625294076,0.009985188431351133,-0.0034491832505499117,0.0800621519928729,-0.1377438437756084,-0.08447031648770992,0.13086686068388423,0.06735113648712275,0.10838565681378133,0.021667494242962687,0.03192390678018476,-0.08222148442846301,0.09908877062211628,-0.03179866384045633,-0.1211955176967799,0.12224144451963653,0.009846276799363628,1.0163291992626617,-0.0715461009139539,0.05174262000119508,0.036471421563937165,-0.13080692180448186,-0.10952786789380047,0.03515121776674988,-0.06694239314807818,0.07061969675888724,0.03057615477344339,-0.00040589983003942764,-0.07353402316328507,-0.1181168827596388,0.037057092917058415,0.017577057798883567,-0.016178725274560535,-0.0036716828826127788,-0.055172554144582574,-0.008909847634582399,-0.07971033488832718,-0.004184783108033923,0.02632641545843165,-0.05130651326696912,-0.12198932221764484,0.1311918586191684,-0.0766925240708278,0.10216804955056151,-0.07421564517740648,-0.09585914279821782,0.13231345082406937,0.15616843273486336,-0.09305097309997447,0.10167740230191705,0.0689197458386836,-0.07794697915972547,0.0073886194549728085,-0.12804389111567982,-0.1285012151671338,-0.040670487635984964,0.024727989285599813,0.12368558146505337,0.06470300775635648,0.03179273444504393,0.009333111368849699,0.002801997163758415,-0.037781398965570645,0.049307274484199366,-0.19523294201208,-0.09084620949964466,-0.03960521812901989,0.0011668392180571622,-0.030915262755776222,-0.030707263854655532,0.08302101126027367,-0.0025353076690936057,-0.0037736934181799124,-0.021925885303770112,-0.03732564932164281,-0.01465159424705845,0.01544932535663757,0.1176670027938213,0.025681138873666475,-0.09393089816076407,-0.011812236170929082,-0.023980256298012346,-0.10749348929740998,-0.16902511252314695,0.03169686076921042,0.05588079738139603,0.06266114727302945,-0.018453714931157036,0.06796883498015834,0.028957018841066235,0.05742879331561776
a-5,0.0014181594025897038,-0.1806830517060314,-0.116912972746582,-0.10697984859885165,-0.002288344936435116,-0.1357749584333319,-0.09114547970341257,0.07439501777767533,-0.08131219343085858,0.005181060682228341,0.0324505257403231,-0.09241205875027692,-0.1513472116968135,0.005789780106947903,0.05926805087639689,0.006809830559919215,-0.1373404800180158,0.01224859058017007,-0.024199317073331155,0.07130468242812515,0.0658053194462048,-0.03333877696435421,-0.17795941204038743,-0.13326819241848376,0.062906095043461,-0.027083685095246324,1.0291298667448687,-0.0077025209560829195,0.05050738478259825,0.08390998494327426,-0.06115740402244648,-0.05502485173641417,-0.03259963895493332,-0.14311733225370554,0.12102248460313422,-0.00262872973089589,-0.005690679751662093,0.005427494489217256,0.09214636731180448,-0.019645330756125175,-0.03790645360911527,-0.06652299084134575,-0.010621003569357914,-0.0598658429857281,0.01291709796746746,-0.07429814320060091,0.04398286750408297,-0.11559471324177771,-0.012985453724869568,0.05191168735295235,-0.06334050398848137,-0.06542636562731162,-0.045444226011690195,-0.0016405568057106666,-0.0908276918927806,0.1383805320397067,0.0937946035425546,-0.03716840295653749,0.06006933903536638,-0.022372667696163553,-0.05186089350618023,0.09819887977043729,-0.11609958224129868,0.06680841657383217,-0.0461843119001929,-0.041900366246422696,0.11760588170387214,-0.04650562668288401,-0.11070042368426491,0.24170271100300353,0.025736199161861643,0.03044717943989452,0.02719887379898032,-0.08769905245072969,0.02704202077807038,-0.04560693157604539,0.0895510564224613,0.03946255342778579,0.06800177554994229,-0.0033791563684749393,-0.005943275298088099,-0.012931894721114758,-0.049567113919461586,0.13016771269107702,-0.008955209987375678,0.10581360917891541,0.027337175818308596,0.04479658249977899,-0.13912655756616943,-0.09929308994926409,0.07900381300167521,0.0031755748808419996,0.04019839839812295,0.01860476008999725,-0.06755454165653996,0.04401701814138168,-0.09050490577973454,-0.004147224782264128,0.04384871594838255,-0.014144669262992435
a-6,-0.01608890636321051,0.031361303815158705,0.08262106594168714,-0.13221709269496879,0.044941200113353896,-0.029244433409323468,0.07507406998211744,-0.0015256704876378312,0.01106000656151131,-0.10646845750281443,-0.09484834216261537,-0.08981940071142089,-0.16460680977026895,-0.1306646768943304,0.05402625169593799,-0.018572424698414202,0.07276422296163089,0.07410638778489528,0.04915293028470445,-0.13288439152318934,0.05227385273845422,0.049371651234609404,0.09407117239469637,-0.053992885861884776,-0.051634183959569944,0.03397603687151775,0.9863016479099536,0.08542902982731389,-0.2286954694207949,-0.060194060529941605,0.15614835670479235,0.0874317689505116,0.0880060573279876,-0.0004367891058011113,-0.10273225144546247,0.13312575927279202,0.10138044128367313,-0.027171097914133496,-0.09149916958978359,-0.048139116411227256,-0.0792295402557513,-0.040398770807964404,-0.15586959596056782,0.07848336508785643,0.09579317418395995,-0.058681539655764295,0.08684773986105328,-0.10236461440902915,-0.18191450118937502,0.2096442363860463,0.009803952344019758,0.07197310978471082,0.04309947634312452,0.062452202046605114,0.015759161603128954,-0.011067571355486062,-0.008938644675253314,-0.02447545704481076,-0.0045208474980268625,-0.07412867081972015,-0.04453356875232002,0.07061867446110683,-0.034793852896411216,-0.07155545703274102,-0.02565923340941108,0.02239589695397089,-0.06308148033183365,0.12386079832959017,0.08850107680298455,-0.07657294110180704,0.09749529148486173,-0.07020822728837407,-0.043092727077508185,0.04810844482398896,-0.06852573219372568,-0.04476130302278483,-0.021855508758702073,-0.16934317086539508,0.09261649290778268,0.0058083035030205826,-0.018835699401902852,0.026208020459379488,-0.0681925329690877,0.021571094705658295,-0.1547293129173198,-0.035733054360006025,-0.014923728824787215,-0.15724225549821572,-0.02147845882141553,0.011458088924419248,0.028144713463863442,0.04544761038460733,0.0027528425531223293,3.4766427903041544e-05,0.012744343672637111,-0.11052501938922452,-0.08040463140958194,-0.08612232648749124,0.05935290023712602,0.012816575982207564
a-7,0.04932366089823108,0.06723513828991591,0.06247168585943111,0.008753727267485276,0.08521606828313115,-0.0017412382527270372,-0.03684421822320652,0.04300074251659565,-0.08733313597930875,-0.05721519759780673,0.13657613920928993,0.003957373281823231,0.0027278604426589094,-0.07354696894176098,0.07028004871315065,0.13403802694102102,-0.001077349196815022,-0.021834895362678606,0.004375553353292026,0.08269419074453581,0.00803550420478761,0.04428480063153705,-0.025359875357519896,-0.046854267659083876,-0.03099264742384702,-0.002801105213366418,0.9754005631329468,-0.20625494729989025,0.04041543832104599,-0.1168714785564584,-0.06376787105386478,0.061130489887065376,0.11953982324964804,0.10316792278441371,-0.0026118051935499803,0.09496881932017376,-0.006609510401164936,-0.08582855208845523,-0.10028507355207344,-0.06124756034721314,-0.04764751272579763,-0.030004114754069614,-0.09072844610298689,0.0065374627232004465,0.08084113050855009,-0.11692930445124888,0.1502913083857945,-0.06904182820780604,-0.00647161168143352,0.09264642790087999,-0.0008644782766278859,-0.02588524974828926,0.057866161767628495,-0.04359588558160197,-0.059461390915123154,-0.083907921059784,0.05337397409170553,0.07224937436650727,0.1405250721246821,0.039803519690092264,0.0005470389186295277,-0.02382042614309954,-0.007677033008572606,0.015295828609829667,0.04559477464502111,-0.07478235869711951,-0.024610662067314132,-0.04089705323418431,0.004400859814953397,0.014991994059554356,-0.19409415644608655,0.03931606618077044,-0.03992478388589227,0.030523936814258867,-0.03676306265299981,0.009462895648412661,0.0413270989064412,0.020084916048015104,-0.17210823291518224,0.029016707144554097,0.02631548174046588,-0.03920180977027493,0.007440393155782695,0.03020278114167722,-0.14236582847801504,0.03658673849308001,-0.011305820199263548,0.020733067594033885,0.007949683109919257,0.11863733393356012,-0.0037497034412308176,-0.05898210653736566,-0.10936337043683583,-0.022720214665289132,-0.14808524179004975,-0.0795512863384456,-0.016772998483723624,-0.0962207411270398,0.012608498721675283,-0.1355579467246858
a-8,0.017275553157550638,0.10394123001861938,0.022309677160306404,-0.0664144445179952,-0.0774735095223347,0.021519472979073997,0.09087126010571829,-0.11133800891241269,0.00761403646525805,-0.0037259094450410573,-0.07082925266528442,0.09503231018540989,-0.019321721062116614,0.014387026024700617,-0.10581048702793633,-0.04086989337810439,-0.05224349456697847,0.02414393630339506,-0.1209467641056713,-0.055761707310897905,-0.17322352547857373,0.007319959150424187,-0.10088676220344323,0.050170995707173136,0.06593021379948628,-0.05078693953403555,0.9920927045281087,0.019636511436671836,0.10472894722777082,0.055896223287983327,-0.01970662468832134,-0.09161800824666388,0.004079101557987035,-0.021700344103211297,0.10845714519648707,-0.02340916218229245,-0.01723574801953769,0.03633908585190103,-0.023581997758530513,-0.19170093299749372,0.019980485433544908,0.003640167470271293,-0.06879054786779057,0.12289970682386413,0.032768537765964986,-0.05421877607329555,0.01729159604480139,0.044670893849982136,-0.105668551543534,-0.02701156521115847,0.11222949558756616,-0.0718956235664088,0.04671516594022283,0.016322208200549537,0.01844152146526763,0.021399517051652946,-0.019322101208934152,0.035544997988357904,-0.10902351024262207,-0.11843696620246934,0.15091194923289783,0.05423143614853949,-0.1280527274504166,-0.06739808385873905,0.030573683464350854,0.07200027346735373,0.050080718414296704,-0.1596361810920088,0.0389564227605653,0.04007829040868871,0.011319551849360038,-0.03996828886272045,-0.10184769671780027,0.0007566769419942862,0.03301918646091607,-0.04248802807620939,0.024692241535368985,0.003460639126737303,-0.020714433803566596,-0.12661837885462415,-0.05871734095355956,0.050996275168138,-0.10295079232915984,0.021728823207124996,0.14509330430657985,-0.06640307618785937,-0.0616979385301974,-0.014644030053757202,-0.009971307420409161,-0.01965249352021493,0.028630594672073986,-0.032689734775468236,0.12177843610832917,0.15134300217300276,0.03800182550054225,0.000973135206423814,0.0959943831974186,-0.0453956992310499,-0.1678339891429586,0.08891977346678183
a-9,0.008859183416132307,0.041041717525953605,-0.016676651042233155,-0.07706921653397782,0.05527741398881026,0.08033728452964603,-0.01562571446671558,0.027036590437661597,-0.019559876979766966,0.12586326310730953,0.04450273344442873,0.0071988986732787605,0.06517346254954957,-0.023686125563037844,-0.07707901318204674,0.15261953239315484,0.11809955038851737,0.0008688963298290671,0.061957282655876925,0.05234511855378228,0.07526537678975662,-0.04988076972365072,-0.11228277649584721,0.20561755258572567,-0.024091534139563976,-0.04610083985556932,0.9699927907780956,-0.011322790838508887,-0.0969349407402642,-0.09103135217856462,-0.022387809214899128,-0.005522898576265981,0.0382142872419467,0.07879917350250182,-0.043465661239111594,-0.13832694047201205,0.04966398604991669,0.08266398920775798,0.01305077420961776,0.047172310818774335,0.060145145489504705,0.07640705979284379,-0.010585110557947586,-0.045518449338122345,0.03055959295962052,-0.0315716141519759,0.05339358490598921,0.027949799527396724,0.08145570551903579,-0.03976094194902947,-0.020238998291880514,0.042904869682603076,0.02653433162189677,0.0031892905736664407,0.13210903943610122,-0.07928822319280694,0.11087306713139791,-0.040976903166727696,-0.125683814241574,0.013270855167702801,-0.0732786014364658,-0.06926640701081728,0.14714490817140555,0.023405653646696032,0.00917430949608066,0.021236996232247073,-0.04520527029766738,0.03839444645500866,-0.09729982126389924,-0.1421214952889978,-0.08989331060419928,0.08208563097377555,-0.07918223951183444,-0.10808198476141796,0.025635923949490987,0.10252444041973337,0.1030829353025286,-0.049769561149744714,0.08894584851808526,0.08069245825008861,-0.0607996895042855,0.07632838204713605,0.1510055858276839,0.16808591290602784,0.0698477373333402,-0.05287374378191175,0.07185427618724058,0.1432561439095891,-0.020276557333915743,0.01248561936379054,-0.11997504556516288,0.006905286978028354,0.0746450230515147,-0.08347038286726312,0.010092812300634645,-0.23413901681780697,0.16683385083705718,0.04590599734950125,-0.05810622581305083,-0.022599567547259163
