,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99
a-0,0.06726060203818399,-0.0044226324307478524,0.23337448369471783,0.10226491261117582,-0.057606312773134646,-0.10732412874501326,-0.055913473528136075,-0.11712245891497781,-0.10673032290378637,-0.02099503433752377,0.09799915281471708,0.2832086005241144,0.02703754327453481,-0.27285259819586477,0.025402345652906323,-0.1358175044920477,-0.032638016725338385,0.07722700533301785,-0.13255176420647896,0.06026727969470564,-0.15667556562772256,0.16094096709760242,0.0540097095594618,-0.19778247682252972,0.14629498911570357,-0.1430592527603126,1.2915132268824536,0.2412038730623889,-0.22855924383632775,0.059634328740152225,-0.01115607748053785,0.09552603724939918,0.07465331135587976,0.12964030695019682,0.14349145056707588,-0.09262672946754477,0.14824106909492982,-0.040257074037496676,0.1539394728907687,0.03277428403041101,0.1738686622178114,0.14861076126186176,0.09587851952087882,0.00027841336269274284,-0.15655806493247756,0.2960514982777044,-0.038117081478397874,0.008434570387529207,0.16298631215303291,-0.20190968729763897,0.1324551249399653,-0.23560730152419349,-0.1692158498041332,-0.03306613773970284,0.09559127024884535,-0.2756017052010181,0.2410014199519402,0.2946571297741104,0.2041847774503926,0.20565813810182507,0.14518061426918336,-0.025108559184245056,-0.15243180113258137,-0.3147697694411567,0.01418767365553384,0.018159992873365553,-0.09262551321766327,0.04724000711974332,0.035142376100976834,0.06880846882025578,-0.007233409588895196,0.007889632031069158,-0.14792035298705253,0.04543997756546128,0.056988554745510255,0.06453388398456852,-0.3068540913510809,0.22844858442018656,0.030493979962415055,-0.06654457097860893,0.2751582321277368,-0.057567173870825286,0.21249785186689957,-0.12937209335456085,0.013077589112384849,-0.20413426556576203,-0.10452975716570193,-0.18660458417226333,0.03125004496531454,0.06544333248404872,0.18931322757075797,0.29778439155387587,0.11292870157733796,0.36118481676095326,0.247306332304378,0.09662398048771752,-0.13872332161768827,-0.2563164387634593,-0.09197057621063175,-0.08503901473814389
a-1,-0.24602894573344566,-0.008611647937701068,-0.28638832284284654,-0.09979756453679536,-0.1467548527223242,0.23570383077614507,0.03091115902594684,-0.0745671924208444,0.2865584313420094,-0.36273498492812034,0.10296523832250688,-0.17874718335802842,-0.12290929818615724,0.1764453621798124,0.21178611755373247,-0.2794557975808867,0.06710550186249559,0.17223488291768346,-0.06074508981884694,0.09995982043632333,-0.08690822880659949,0.08239721420939183,0.017131567877156292,0.041373418941564606,-0.1446355172445787,0.13569930878698658,1.014915560888978,-0.23494202886799487,-0.30050875752986567,-0.1798670640721925,-0.27860281012533,-0.045635337909382116,0.16570053887007014,0.039521757366133475,0.007416246541255227,-0.16321195474592587,0.06374925368404999,-0.10815926454408521,0.19959066246887425,-0.317106340190359,-0.0524986152620174,-0.046817584463436666,-0.3507536331338144,-0.02901435274225499,0.06202935001523328,0.038205817534389896,0.016433710674353102,-0.1311667215510244,0.07791210076561708,0.014248083291175903,-0.15772927712883472,-0.12649714863307748,0.032741523089971476,0.08276677184023892,-0.11058403095687515,0.14446957313802924,-0.10637661469657443,0.021080453999520556,0.06749818741636061,-0.002031667220210211,-0.05569534743257394,0.12956904744557915,0.08253350681065805,0.1893034062028288,-0.060476380400148855,0.10936135164250516,0.055954133302825386,0.16563778548181537,-0.0670238794872585,-0.5557336351854042,-0.2123717261173443,0.22539230893103235,0.0361419893487046,-0.04074021750719019,0.007964309526632704,-0.21823050082458992,-0.04137398658699943,-0.028362419774630894,-0.10953664589626542,0.17990622391612915,-0.02674610981707859,-0.1207853569991109,-0.07875227227537403,-0.057378123122242504,0.04173578940910225,-0.09955512715089772,-0.07467061006742418,-0.23928338999326054,0.17513083876637736,0.02786579346526172,-0.14868294996039394,0.14698176888485148,-0.1680426317662345,-0.14015313695128737,0.30379162771855867,-0.07269768393317616,-0.1721914632852211,0.15560260654821226,-0.1832866132177519,-0.06902257479495061
a-2,0.15957557168791084,0.11279679509255247,-0.11511603297821124,0.13273920703032344,0.1959064181196003,-0.28220227294283273,-0.12588803462665488,-0.22144501809417186,-0.029148385507554383,-0.21996694547570117,0.005733168556055904,-0.1287688256499909,0.11026432512844482,-0.2747116832196247,0.0183183942625243,0.05781456990874948,-0.011688326198958383,-0.07803197952331013,0.4903950439208912,0.13578095367915802,-0.1825860426414081,0.1489170843594273,-0.04460948277212576,-0.15426454766473952,0.015524678947708488,0.14317053252390513,1.1610771643698639,-0.018167103963552825,0.27559862026418547,-0.0508935687302229,0.13116670684765563,-0.03277985355052841,0.17677110101321275,0.16827264986015092,0.1820412307733063,-0.12213628751752706,-0.2045415390603556,0.10704733807179342,0.06704901403572314,-0.07679214556638067,-0.008174050897828283,0.08965948486699432,0.16883931299291582,0.04294305718643019,0.09792020702424736,-0.009269583740891736,0.1986813833769101,0.04691985149406256,0.06302193698127438,-0.16652149069841707,-0.10111007561882115,-0.023484161808044995,-0.2489632973495858,-0.07837518566608705,-0.01859020706251803,0.05899547744321229,-0.06103650794033581,-0.19457385608178962,-0.3096299281640185,-0.08189709155788495,0.09167423900254645,-0.21404395574329546,-0.11376715502280353,-0.018754854915459696,-0.1277743674155906,-0.11366980116123718,-0.09068525650836243,-0.060664689675609555,0.04611139050302856,0.011519700460705376,-0.002933683745824791,0.015817283547032126,0.06768554141355551,-0.16440489503039993,0.04604724998307281,-0.0009121438755199164,-0.15537846228615504,-0.12714881524651347,-0.1894499537816267,0.12123678705300397,0.03439380850000427,0.3295791696446458,0.23930158155818815,-0.33216955606046455,0.15907409625251853,-0.16398225914632863,-0.28543787452648656,-0.17427250313891807,0.17053832986414952,-0.0820190573459065,-0.04451322445570133,0.08860217103319491,0.11940902451862809,-0.16774157279636676,0.008613071890119122,-0.016487899455635852,-0.05559437237349544,0.09325543202809948,-0.2338453936109519,-0.22498909331851558
a-3,-0.13067497694516556,0.12399427098258196,-0.030898172864983166,-0.19995009516869586,0.13549303186003472,-0.07810736421159616,0.0023142588974401036,-0.25400464971540393,0.025612791252364635,0.08459698593019212,0.13132759028841567,0.16501232670783228,-0.12031633163275104,-0.013507877354537337,-0.12490421784124967,-0.0744462814782508,-0.16334013400917946,-0.03655382835162948,-0.25460184605199376,0.22619802112760076,-0.27280743612247244,0.05680234742938442,0.13944616014881023,0.03241541536679502,0.19153338786760657,-0.34301592490885313,0.9470285225947606,-0.2714770363935364,-0.23114123547013168,-0.09029916831535985,-0.31115676944194615,0.009626479225118278,0.07094868482925422,-0.36074689166908497,-0.12472173428508652,0.18772400823529847,-0.14882028140482237,-0.02027489530884679,0.20118191245109784,-0.12696461669098155,0.16164032905145645,0.2384161161053482,-0.1459931409371629,0.10416187749276117,0.20333011507805704,-0.18263213332954398,0.018796017764177275,0.1631964503451696,0.08537397568972369,-0.35595564800279345,-0.0543306586563444,-0.010742815642636707,0.18603477561644208,-0.23954492819113393,-0.1413019203877399,-0.10755596132873749,0.030706766602696146,-0.1529747704360895,0.16890668769107944,0.19180599182154198,0.18099593479745263,0.2653790446436277,0.07564245320047948,0.014504996337110833,0.00674410685106046,0.21570713957440996,0.17386027155942016,-0.09925352998007968,-0.02044678452781445,-0.14207155559267293,0.30526220762562045,0.0314024469700191,-0.023054150878318008,-0.034645036699083,0.2786753662650768,-0.2027398610048058,0.0426633622151148,0.13893444698634871,0.0012595784598810622,0.17211849117806277,0.012487566103865871,0.12745280751436336,0.08207769442368651,-0.020125438604898526,-0.1329712475065905,-0.07831478668773473,-0.0216647650194245,0.15612552110219247,-0.11361268032802002,0.3064302362009273,0.0348469259525658,-0.07511909791344011,0.03773450892077849,0.06413770068769548,0.04738020532897257,0.1092827884667561,-0.3013393213270851,0.04459512370770603,-0.3617076316182467,-0.08719571531288269
a-4,0.19094159254892348,-0.18211526466962194,0.0245365228140657,-0.0999294059888032,-0.2872569807816916,-0.029727765753806156,0.014082684059760077,-0.2538350636499779,-0.11186803683126105,-0.339803250588152,0.019970376862702265,-0.0068983665010998235,0.1601243039857458,-0.2754876875512168,-0.16894063297541984,0.26173372136776846,0.1347022729742455,0.21677131362756266,0.043334988485925374,0.06384781356036952,-0.16444296885692603,0.19817754124423256,-0.06359732768091265,-0.2423910353935598,0.24448288903927307,0.019692553598727257,1.0326583985253235,-0.1430922018279078,0.10348524000239016,0.07294284312787433,-0.2616138436089637,-0.21905573578760093,0.07030243553349975,-0.13388478629615636,0.14123939351777448,0.06115230954688678,-0.0008117996600788553,-0.14706804632657014,-0.2362337655192776,0.07411418583411683,0.035154115597767134,-0.03235745054912107,-0.0073433657652255575,-0.11034510828916515,-0.017819695269164798,-0.15942066977665437,-0.008369566216067846,0.0526528309168633,-0.10261302653393824,-0.2439786444352897,0.2623837172383368,-0.1533850481416556,0.20433609910112302,-0.14843129035481295,-0.19171828559643564,0.26462690164813873,0.3123368654697267,-0.18610194619994894,0.2033548046038341,0.1378394916773672,-0.15589395831945094,0.014777238909945617,-0.25608778223135964,-0.2570024303342676,-0.08134097527196993,0.04945597857119963,0.24737116293010675,0.12940601551271297,0.06358546889008786,0.018666222737699398,0.00560399432751683,-0.07556279793114129,0.09861454896839873,-0.39046588402416,-0.1816924189992893,-0.07921043625803978,0.0023336784361143244,-0.061830525511552444,-0.061414527709311065,0.16604202252054734,-0.005070615338187211,-0.007547386836359825,-0.043851770607540225,-0.07465129864328562,-0.0293031884941169,0.03089865071327514,0.2353340055876426,0.05136227774733295,-0.18786179632152814,-0.023624472341858164,-0.04796051259602469,-0.21498697859481997,-0.3380502250462939,0.06339372153842084,0.11176159476279206,0.1253222945460589,-0.03690742986231407,0.13593766996031667,0.05791403768213247,0.11485758663123552
a-5,0.0028363188051794075,-0.3613661034120628,-0.233825945493164,-0.2139596971977033,-0.004576689872870232,-0.2715499168666638,-0.18229095940682513,0.14879003555535067,-0.16262438686171715,0.010362121364456682,0.0649010514806462,-0.18482411750055383,-0.302694423393627,0.011579560213895806,0.11853610175279378,0.01361966111983843,-0.2746809600360316,0.02449718116034014,-0.04839863414666231,0.1426093648562503,0.1316106388924096,-0.06667755392870842,-0.35591882408077485,-0.2665363848369675,0.125812190086922,-0.05416737019049265,1.0582597334897375,-0.015405041912165839,0.1010147695651965,0.16781996988654851,-0.12231480804489296,-0.11004970347282834,-0.06519927790986664,-0.2862346645074111,0.24204496920626845,-0.00525745946179178,-0.011381359503324187,0.010854988978434512,0.18429273462360896,-0.03929066151225035,-0.07581290721823054,-0.1330459816826915,-0.021242007138715827,-0.1197316859714562,0.02583419593493492,-0.14859628640120182,0.08796573500816594,-0.23118942648355542,-0.025970907449739136,0.1038233747059047,-0.12668100797696275,-0.13085273125462324,-0.09088845202338039,-0.0032811136114213333,-0.1816553837855612,0.2767610640794134,0.1875892070851092,-0.07433680591307498,0.12013867807073277,-0.044745335392327105,-0.10372178701236046,0.19639775954087457,-0.23219916448259736,0.13361683314766434,-0.0923686238003858,-0.08380073249284539,0.23521176340774427,-0.09301125336576802,-0.22140084736852983,0.48340542200600706,0.05147239832372329,0.06089435887978904,0.05439774759796064,-0.17539810490145938,0.05408404155614076,-0.09121386315209078,0.1791021128449226,0.07892510685557158,0.13600355109988457,-0.0067583127369498786,-0.011886550596176198,-0.025863789442229515,-0.09913422783892317,0.26033542538215404,-0.017910419974751356,0.21162721835783083,0.05467435163661719,0.08959316499955798,-0.27825311513233886,-0.19858617989852817,0.15800762600335042,0.006351149761683999,0.0803967967962459,0.0372095201799945,-0.13510908331307991,0.08803403628276336,-0.18100981155946907,-0.008294449564528256,0.0876974318967651,-0.02828933852598487
a-6,-0.03217781272642102,0.06272260763031741,0.16524213188337428,-0.26443418538993757,0.08988240022670779,-0.058488866818646935,0.15014813996423487,-0.0030513409752756624,0.02212001312302262,-0.21293691500562886,-0.18969668432523074,-0.17963880142284178,-0.3292136195405379,-0.2613293537886608,0.10805250339187598,-0.037144849396828404,0.14552844592326178,0.14821277556979057,0.0983058605694089,-0.2657687830463787,0.10454770547690843,0.09874330246921881,0.18814234478939273,-0.10798577172376955,-0.10326836791913989,0.0679520737430355,0.9726032958199071,0.17085805965462778,-0.4573909388415898,-0.12038812105988321,0.3122967134095847,0.1748635379010232,0.1760121146559752,-0.0008735782116022226,-0.20546450289092494,0.26625151854558404,0.20276088256734626,-0.05434219582826699,-0.18299833917956718,-0.09627823282245451,-0.1584590805115026,-0.08079754161592881,-0.31173919192113564,0.15696673017571286,0.1915863483679199,-0.11736307931152859,0.17369547972210655,-0.2047292288180583,-0.36382900237875004,0.4192884727720926,0.019607904688039517,0.14394621956942164,0.08619895268624904,0.12490440409321023,0.03151832320625791,-0.022135142710972125,-0.017877289350506628,-0.04895091408962152,-0.009041694996053725,-0.1482573416394403,-0.08906713750464004,0.14123734892221365,-0.06958770579282243,-0.14311091406548204,-0.05131846681882216,0.04479179390794178,-0.1261629606636673,0.24772159665918034,0.1770021536059691,-0.15314588220361408,0.19499058296972346,-0.14041645457674815,-0.08618545415501637,0.09621688964797792,-0.13705146438745136,-0.08952260604556966,-0.043711017517404145,-0.33868634173079015,0.18523298581556535,0.011616607006041165,-0.037671398803805704,0.052416040918758976,-0.1363850659381754,0.04314218941131659,-0.3094586258346396,-0.07146610872001205,-0.02984745764957443,-0.31448451099643143,-0.04295691764283106,0.022916177848838495,0.056289426927726885,0.09089522076921466,0.005505685106244659,6.953285580608309e-05,0.025488687345274222,-0.22105003877844903,-0.16080926281916388,-0.17224465297498248,0.11870580047425204,0.025633151964415127
a-7,0.09864732179646216,0.13447027657983182,0.12494337171886222,0.017507454534970553,0.1704321365662623,-0.0034824765054540744,-0.07368843644641304,0.0860014850331913,-0.1746662719586175,-0.11443039519561346,0.27315227841857986,0.007914746563646461,0.005455720885317819,-0.14709393788352196,0.1405600974263013,0.26807605388204203,-0.002154698393630044,-0.04366979072535721,0.008751106706584052,0.16538838148907162,0.01607100840957522,0.0885696012630741,-0.05071975071503979,-0.09370853531816775,-0.06198529484769404,-0.005602210426732836,0.9508011262658935,-0.4125098945997805,0.08083087664209199,-0.2337429571129168,-0.12753574210772955,0.12226097977413075,0.23907964649929608,0.20633584556882742,-0.005223610387099961,0.18993763864034752,-0.013219020802329872,-0.17165710417691046,-0.2005701471041469,-0.12249512069442628,-0.09529502545159527,-0.06000822950813923,-0.18145689220597377,0.013074925446400893,0.16168226101710018,-0.23385860890249777,0.300582616771589,-0.13808365641561207,-0.01294322336286704,0.18529285580175997,-0.0017289565532557717,-0.05177049949657852,0.11573232353525699,-0.08719177116320394,-0.11892278183024631,-0.167815842119568,0.10674794818341106,0.14449874873301455,0.2810501442493642,0.07960703938018453,0.0010940778372590554,-0.04764085228619908,-0.015354066017145212,0.030591657219659334,0.09118954929004222,-0.14956471739423902,-0.049221324134628264,-0.08179410646836861,0.008801719629906795,0.029983988119108712,-0.3881883128921731,0.07863213236154087,-0.07984956777178454,0.06104787362851773,-0.07352612530599963,0.018925791296825322,0.0826541978128824,0.04016983209603021,-0.34421646583036447,0.058033414289108194,0.05263096348093176,-0.07840361954054986,0.01488078631156539,0.06040556228335444,-0.2847316569560301,0.07317347698616002,-0.022611640398527096,0.04146613518806777,0.015899366219838514,0.23727466786712023,-0.007499406882461635,-0.11796421307473132,-0.21872674087367167,-0.045440429330578264,-0.2961704835800995,-0.1591025726768912,-0.03354599696744725,-0.1924414822540796,0.025216997443350566,-0.2711158934493716
a-8,0.034551106315101277,0.20788246003723876,0.04461935432061281,-0.1328288890359904,-0.1549470190446694,0.043038945958147994,0.18174252021143658,-0.22267601782482538,0.0152280729305161,-0.007451818890082115,-0.14165850533056884,0.19006462037081978,-0.03864344212423323,0.028774052049401234,-0.21162097405587266,-0.08173978675620878,-0.10448698913395695,0.04828787260679012,-0.2418935282113426,-0.11152341462179581,-0.34644705095714745,0.014639918300848374,-0.20177352440688645,0.10034199141434627,0.13186042759897257,-0.1015738790680711,0.9841854090562174,0.03927302287334367,0.20945789445554164,0.11179244657596665,-0.03941324937664268,-0.18323601649332777,0.00815820311597407,-0.043400688206422594,0.21691429039297414,-0.0468183243645849,-0.03447149603907538,0.07267817170380206,-0.047163995517061026,-0.38340186599498743,0.039960970867089815,0.007280334940542586,-0.13758109573558114,0.24579941364772825,0.06553707553192997,-0.1084375521465911,0.03458319208960278,0.08934178769996427,-0.211337103087068,-0.05402313042231694,0.22445899117513232,-0.1437912471328176,0.09343033188044567,0.03264441640109907,0.03688304293053526,0.04279903410330589,-0.038644202417868305,0.07108999597671581,-0.21804702048524413,-0.23687393240493868,0.30182389846579566,0.10846287229707897,-0.2561054549008332,-0.1347961677174781,0.06114736692870171,0.14400054693470746,0.10016143682859341,-0.3192723621840176,0.0779128455211306,0.08015658081737742,0.022639103698720076,-0.0799365777254409,-0.20369539343560053,0.0015133538839885725,0.06603837292183214,-0.08497605615241878,0.04938448307073797,0.006921278253474606,-0.04142886760713319,-0.2532367577092483,-0.11743468190711912,0.101992550336276,-0.20590158465831968,0.04345764641424999,0.2901866086131597,-0.13280615237571874,-0.1233958770603948,-0.029288060107514405,-0.019942614840818322,-0.03930498704042986,0.05726118934414797,-0.06537946955093647,0.24355687221665834,0.3026860043460055,0.0760036510010845,0.001946270412847628,0.1919887663948372,-0.0907913984620998,-0.3356679782859172,0.17783954693356366
a-9,0.017718366832264614,0.08208343505190721,-0.03335330208446631,-0.15413843306795563,0.11055482797762052,0.16067456905929206,-0.03125142893343116,0.054073180875323194,-0.03911975395953393,0.25172652621461905,0.08900546688885747,0.014397797346557521,0.13034692509909915,-0.04737225112607569,-0.15415802636409348,0.3052390647863097,0.23619910077703474,0.0017377926596581343,0.12391456531175385,0.10469023710756456,0.15053075357951323,-0.09976153944730144,-0.22456555299169442,0.41123510517145134,-0.04818306827912795,-0.09220167971113864,0.9399855815561914,-0.022645581677017773,-0.1938698814805284,-0.18206270435712923,-0.044775618429798256,-0.011045797152531962,0.0764285744838934,0.15759834700500364,-0.08693132247822319,-0.2766538809440241,0.09932797209983338,0.16532797841551597,0.02610154841923552,0.09434462163754867,0.12029029097900941,0.15281411958568758,-0.02117022111589517,-0.09103689867624469,0.06111918591924104,-0.0631432283039518,0.10678716981197842,0.05589959905479345,0.16291141103807158,-0.07952188389805893,-0.04047799658376103,0.08580973936520615,0.05306866324379354,0.0063785811473328815,0.26421807887220244,-0.15857644638561388,0.22174613426279582,-0.08195380633345539,-0.251367628483148,0.026541710335405602,-0.1465572028729316,-0.13853281402163456,0.2942898163428111,0.046811307293392064,0.01834861899216132,0.04247399246449415,-0.09041054059533477,0.07678889291001732,-0.1945996425277985,-0.2842429905779956,-0.17978662120839856,0.1641712619475511,-0.15836447902366887,-0.21616396952283592,0.051271847898981975,0.20504888083946674,0.2061658706050572,-0.09953912229948943,0.17789169703617053,0.16138491650017722,-0.121599379008571,0.1526567640942721,0.3020111716553678,0.3361718258120557,0.1396954746666804,-0.1057474875638235,0.14370855237448116,0.2865122878191782,-0.040553114667831486,0.02497123872758108,-0.23995009113032575,0.013810573956056707,0.1492900461030294,-0.16694076573452624,0.02018562460126929,-0.46827803363561393,0.33366770167411436,0.0918119946990025,-0.11621245162610166,-0.045199135094518325
